Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI,data_source,simulated_weekly_score,simulated_weight_diff
26.0,Female,72.8,1.67,163,121.0,50.0,1.37,829.0,Strength,35.0,1.9,2.0,1.0,26.1,real,20.127010009332537,1.7092452412675387
43.0,Female,66.3,1.77,177,157.0,57.0,1.48,1046.0,HIIT,32.7,1.7,4.0,2.0,21.16,real,41.64655641289899,-1.7720621956046023
39.0,Female,56.0,1.6,184,151.0,69.0,0.89,672.0,Yoga,32.6,2.0,2.0,1.0,21.87,real,23.801978510059634,-0.32582448883957627
47.0,Male,45.9,1.93,166,159.0,65.0,1.29,1015.0,Cardio,29.6,2.0,3.0,2.0,12.32,real,56.10585745283823,0.2124343480598188
34.0,Male,88.0,1.64,197,147.0,70.0,1.9,1536.0,Yoga,14.4,3.5,4.0,3.0,32.72,real,74.0179044793104,-0.20153743867505508
43.0,Male,94.0,1.79,187,156.0,62.0,1.31,1012.0,HIIT,23.2,3.4,2.0,1.0,29.34,real,24.297807255546218,-0.3905024420125923
53.0,Female,44.7,1.79,164,160.0,72.0,1.34,965.0,Yoga,26.7,2.1,3.0,2.0,13.95,real,58.33922154548904,-1.3393730907566594
18.0,Male,63.2,1.63,162,120.0,73.0,0.66,436.0,Cardio,27.5,2.2,3.0,1.0,23.79,real,29.591800792284367,-0.11377060564786906
25.0,Male,95.6,1.9,190,160.0,72.0,1.47,1294.0,Cardio,23.8,2.4,4.0,2.0,26.48,real,52.078342885413534,-0.905411181612741
52.0,Male,47.8,1.86,179,129.0,67.0,1.01,645.0,Yoga,24.7,2.8,3.0,2.0,13.82,real,33.39039066484008,-2.0519373639828427
32.0,Male,85.3,1.64,178,123.0,69.0,1.77,1197.0,Cardio,13.2,3.5,4.0,3.0,31.71,real,74.23118219132586,0.6556737764109846
39.0,Male,59.7,1.83,170,154.0,59.0,1.35,1143.0,Strength,29.1,2.3,4.0,2.0,17.83,real,57.076876871631114,0.466708655873634
31.0,Male,70.2,1.98,199,129.0,61.0,0.71,504.0,Yoga,24.2,2.5,2.0,1.0,17.91,real,22.715788371953735,-0.25867121851913616
43.0,Female,72.7,1.8,162,166.0,50.0,0.79,590.0,Cardio,32.8,2.1,3.0,1.0,22.44,real,12.232514241796906,-0.11674024943543793
45.0,Female,50.4,1.79,182,130.0,59.0,0.74,433.0,Cardio,27.7,2.5,2.0,1.0,15.73,real,9.189434595917376,0.5594544101724492
40.0,Male,81.7,1.74,166,133.0,58.0,0.91,666.0,Yoga,27.0,2.7,2.0,1.0,26.99,real,27.546528533329038,-0.1205282745775339
31.0,Male,49.3,1.62,182,157.0,52.0,0.56,484.0,Strength,20.0,3.2,2.0,1.0,18.79,real,19.60444846143345,0.42321404380905153
41.0,Female,61.9,1.64,166,131.0,68.0,1.93,1138.0,Yoga,19.4,2.7,4.0,3.0,23.01,real,86.81500697372624,-0.5379857606990801
19.0,Female,49.1,1.68,193,164.0,58.0,1.42,1164.0,Cardio,25.3,2.6,4.0,2.0,17.4,real,55.28318376130461,0.7495869908591573
43.0,Male,66.5,1.83,178,136.0,59.0,1.11,747.0,Yoga,27.1,2.4,3.0,2.0,19.86,real,50.297561394957455,-0.04337141925385285
31.0,Male,75.5,1.93,168,135.0,68.0,0.6,446.0,Cardio,20.5,3.4,2.0,1.0,20.27,real,29.382838059759976,-0.14475844511530075
24.0,Male,88.2,1.79,177,154.0,65.0,1.76,1491.0,HIIT,11.3,3.5,4.0,3.0,27.53,real,71.04455271782626,-1.3160488709696256
20.0,Male,74.8,1.75,184,121.0,73.0,1.33,885.0,Yoga,25.0,3.3,3.0,2.0,24.42,real,50.96120776940983,-0.070435316558633
40.0,Female,72.2,1.6,173,130.0,67.0,0.87,566.0,Yoga,29.2,1.9,3.0,1.0,28.2,real,15.577247112949578,-0.9655639339955611
35.0,Male,62.8,1.63,184,160.0,63.0,1.41,1241.0,Cardio,21.9,3.7,4.0,2.0,23.64,real,50.65503772567684,-0.8106261812227953
55.0,Male,84.7,1.79,178,122.0,52.0,1.19,719.0,Cardio,23.3,2.4,3.0,2.0,26.43,real,44.76327876531361,-0.952300502652897
52.0,Male,116.5,1.69,198,148.0,51.0,0.53,388.0,Cardio,27.3,2.4,2.0,1.0,40.79,real,0.0,-1.15298794551938
32.0,Male,77.4,1.92,174,137.0,50.0,1.39,1047.0,Cardio,26.7,3.3,3.0,2.0,21.0,real,45.212513783365225,1.3998171224135694
42.0,Female,72.9,1.62,175,139.0,67.0,1.17,732.0,Yoga,25.7,2.0,4.0,2.0,27.78,real,63.38756125573521,0.7650712495907226
54.0,Female,58.4,1.59,186,166.0,73.0,1.08,807.0,Cardio,32.5,1.9,2.0,1.0,23.1,real,11.053926977804961,1.236294001715409
45.0,Female,64.3,1.54,199,133.0,58.0,1.67,999.0,Yoga,15.3,2.7,4.0,3.0,27.11,real,74.96628355838642,-1.278316015644451
27.0,Male,89.3,1.87,169,153.0,62.0,1.62,1363.0,Strength,12.7,3.5,5.0,3.0,25.54,real,79.79268941725825,-0.242997000071286
56.0,Male,90.2,1.61,163,168.0,51.0,1.38,1148.0,Yoga,22.6,2.3,3.0,2.0,34.8,real,49.76977884353733,-1.3348061001632767
34.0,Female,59.0,1.62,178,150.0,56.0,1.13,847.0,Cardio,30.9,2.4,4.0,2.0,22.48,real,56.965547765115744,-0.8565559017576512
56.0,Male,58.7,1.86,187,159.0,65.0,1.09,858.0,Cardio,22.6,3.3,3.0,2.0,16.97,real,60.31844539468635,-1.0345015867332599
39.0,Male,127.5,1.82,180,161.0,70.0,1.26,1116.0,Strength,29.8,3.0,3.0,2.0,38.49,real,14.909396269630278,0.6916672051532493
43.0,Female,68.6,1.52,173,137.0,68.0,1.42,875.0,Yoga,28.1,2.6,4.0,2.0,29.69,real,50.63550265869259,-0.616983742481408
42.0,Female,56.7,1.53,192,149.0,74.0,1.07,717.0,Strength,27.4,1.9,3.0,1.0,24.22,real,33.89630795623437,0.5547034669552131
34.0,Female,64.5,1.78,169,144.0,64.0,1.33,958.0,Yoga,27.8,1.8,4.0,2.0,20.36,real,55.82283989275424,0.1832967116708144
30.0,Female,61.6,1.52,178,138.0,71.0,1.78,1228.0,Cardio,19.5,2.7,4.0,3.0,26.66,real,88.16480375065352,1.5429110016838312
37.0,Male,75.1,1.82,189,127.0,60.0,1.23,859.0,Yoga,26.4,3.2,4.0,2.0,22.67,real,49.82711549899628,-1.4835553785117792
42.0,Male,79.3,1.93,181,147.0,50.0,1.22,888.0,Cardio,27.3,3.3,2.0,1.0,21.29,real,34.0934744018558,0.7073865918294391
21.0,Female,72.6,1.68,162,127.0,70.0,1.19,756.0,Cardio,34.2,1.8,3.0,2.0,25.72,real,71.9089812361925,0.6171526963205822
27.0,Male,76.7,1.7,196,150.0,56.0,0.96,792.0,HIIT,29.1,2.1,3.0,1.0,26.54,real,19.06161439560341,-1.0787030704216278
20.0,Female,44.2,1.61,177,122.0,69.0,1.08,659.0,HIIT,32.4,2.5,2.0,1.0,17.05,real,15.54497478599228,0.5057066691785277
58.0,Female,56.5,1.7,170,122.0,57.0,0.74,406.0,Yoga,27.0,2.7,2.0,1.0,19.55,real,34.53384477117701,-0.031084029579016903
35.0,Male,100.9,1.63,161,163.0,59.0,1.1,986.0,Cardio,28.4,3.1,2.0,1.0,37.98,real,16.32572145730713,-0.48198100796272625
53.0,Female,55.8,1.55,171,141.0,54.0,1.12,711.0,Strength,27.0,1.8,4.0,2.0,23.23,real,49.771399728467316,-0.9591483895775996
39.0,Male,58.3,1.93,165,136.0,58.0,1.35,1010.0,Cardio,27.4,3.7,4.0,2.0,15.65,real,50.798131829041424,-0.8752875611593487
51.0,Male,48.6,1.77,199,155.0,74.0,1.47,1128.0,Strength,26.9,3.5,2.0,1.0,15.51,real,17.182153911394927,1.3398496766287409
25.0,Male,81.7,1.95,188,136.0,74.0,1.94,1451.0,Yoga,13.8,3.5,4.0,3.0,21.49,real,66.55549488965723,-0.2994537448340139
57.0,Male,85.6,1.69,189,133.0,50.0,1.76,1159.0,Yoga,12.7,3.5,5.0,3.0,29.97,real,68.35848053515802,0.32570400122516735
36.0,Female,60.0,1.72,161,128.0,51.0,1.63,1043.0,Strength,18.2,2.7,5.0,3.0,20.28,real,74.95859233247933,-0.9327195053340425
59.0,Male,126.4,1.69,168,149.0,68.0,1.24,915.0,Strength,29.5,2.9,3.0,1.0,44.26,real,0.0,-0.9238823569773111
58.0,Female,75.4,1.78,161,140.0,63.0,1.05,662.0,Cardio,26.0,2.5,4.0,2.0,23.8,real,54.65315112613219,0.5655878473999538
54.0,Female,64.2,1.69,188,131.0,69.0,1.69,996.0,Yoga,16.5,2.7,4.0,3.0,22.48,real,82.3421473253652,-1.3796609692412258
23.0,Female,65.2,1.62,192,156.0,59.0,1.37,1069.0,Cardio,31.1,2.5,3.0,2.0,24.84,real,65.50500492814076,-0.6321710143242172
43.0,Female,70.1,1.66,169,151.0,58.0,0.99,673.0,Strength,34.6,2.6,2.0,1.0,25.44,real,9.356459592612087,-0.27277807114221436
51.0,Male,102.6,1.77,193,130.0,59.0,1.21,779.0,HIIT,21.0,3.4,2.0,1.0,32.75,real,18.218223984765835,-0.21090191852795803
23.0,Male,107.2,1.93,167,139.0,55.0,1.15,879.0,HIIT,20.2,3.1,4.0,2.0,28.78,real,47.190111557744906,-0.443274628012925
54.0,Female,56.5,1.75,196,154.0,66.0,1.76,1220.0,HIIT,15.3,2.7,5.0,3.0,18.45,real,84.50536290347567,0.0166558248767385
50.0,Female,61.6,1.75,192,166.0,74.0,1.22,911.0,Strength,25.5,2.2,4.0,2.0,20.11,real,61.74819492166604,0.25428460465424924
39.0,Male,81.7,1.75,165,165.0,55.0,1.32,1198.0,Cardio,29.1,2.8,4.0,2.0,26.68,real,41.25277978437702,0.287710036367464
38.0,Female,76.6,1.58,199,130.0,53.0,0.74,481.0,Yoga,32.2,2.3,2.0,1.0,30.68,real,15.304097461840506,-1.0886430469342614
23.0,Male,116.8,1.79,178,127.0,69.0,1.0,698.0,Strength,26.8,3.4,4.0,2.0,36.45,real,39.489522082130556,-0.5273240783430377
23.0,Female,60.1,1.59,191,123.0,52.0,1.8,1107.0,HIIT,17.6,2.7,4.0,3.0,23.77,real,84.92451264008149,0.6558102895015503
21.0,Male,93.7,1.73,186,146.0,72.0,1.0,803.0,Cardio,27.8,3.6,2.0,1.0,31.31,real,13.426686439078182,0.4157177500590979
47.0,Female,41.6,1.58,160,163.0,68.0,1.03,756.0,Yoga,26.6,2.1,4.0,2.0,16.66,real,79.55300139910895,-1.3982875611848513
28.0,Female,55.1,1.79,192,159.0,67.0,1.99,1582.0,Yoga,17.0,2.7,5.0,3.0,17.2,real,78.62260015748684,-0.01881607971823862
47.0,Male,127.1,1.76,199,157.0,73.0,0.71,552.0,Strength,24.9,3.0,2.0,1.0,41.03,real,0.0,-1.8825801994998483
48.0,Female,69.1,1.6,191,166.0,53.0,1.34,1001.0,Strength,26.1,2.0,4.0,2.0,26.99,real,45.78359473575236,-0.26245207835170425
41.0,Female,66.8,1.74,164,149.0,57.0,1.34,898.0,Yoga,29.2,2.3,3.0,1.0,22.06,real,19.445228808397452,1.2182136133967816
26.0,Male,125.5,1.76,176,163.0,66.0,1.15,1031.0,Yoga,23.2,3.1,4.0,2.0,40.52,real,25.34612872693482,-1.058314173815189
20.0,Female,71.3,1.58,167,167.0,54.0,1.07,893.0,HIIT,25.4,1.5,3.0,2.0,28.56,real,56.55016531107552,-0.9674584363932657
48.0,Male,129.2,1.61,193,167.0,62.0,1.06,876.0,Yoga,21.4,2.9,4.0,2.0,49.84,real,31.945042479898543,0.3112238252582877
57.0,Male,96.3,1.86,168,146.0,74.0,1.1,795.0,Strength,27.6,2.2,3.0,2.0,27.84,real,40.03253706250524,-1.534241212167717
54.0,Female,67.5,1.54,182,140.0,50.0,0.72,454.0,Cardio,25.2,1.5,3.0,1.0,28.46,real,11.486444268957712,-0.8062040239080313
53.0,Female,64.4,1.55,194,139.0,62.0,1.77,1107.0,HIIT,19.7,2.7,4.0,3.0,26.81,real,81.99915556386404,0.17715291006540218
41.0,Female,64.9,1.57,166,123.0,53.0,1.04,576.0,HIIT,25.9,2.4,4.0,2.0,26.33,real,47.48276955719029,-0.8074286781515225
48.0,Female,52.3,1.66,174,130.0,71.0,0.74,433.0,Yoga,33.0,1.8,3.0,1.0,18.98,real,31.32931817755511,-0.4887759897687773
23.0,Female,56.7,1.55,179,132.0,73.0,1.38,911.0,Cardio,34.0,1.9,4.0,2.0,23.6,real,57.029230208513,0.29534856825202765
19.0,Female,46.8,1.63,184,128.0,63.0,1.35,864.0,HIIT,34.4,1.6,4.0,2.0,17.61,real,39.84255885002768,0.03723686682924904
37.0,Female,70.3,1.77,162,123.0,52.0,1.01,621.0,Strength,33.7,1.7,2.0,1.0,22.44,real,35.47505201330061,-0.08654528296367847
45.0,Male,80.8,1.76,183,131.0,54.0,1.7,1102.0,Yoga,11.4,3.5,4.0,3.0,26.08,real,96.33877673095522,-0.571297823416031
28.0,Female,56.0,1.5,193,128.0,56.0,1.94,1242.0,Strength,16.7,2.7,5.0,3.0,24.89,real,78.87211309515614,-0.003951107784835706
21.0,Male,101.2,1.84,181,132.0,50.0,1.3,944.0,Yoga,24.3,3.3,2.0,1.0,29.89,real,8.787984400640157,-0.39898614407980526
32.0,Female,56.6,1.57,170,167.0,72.0,1.65,1378.0,HIIT,15.7,2.7,4.0,3.0,22.96,real,82.85865390724905,0.06624448794062782
23.0,Female,40.9,1.75,167,145.0,61.0,0.82,594.0,Yoga,25.2,2.1,3.0,1.0,13.36,real,28.34456789987025,-0.6975456200943826
47.0,Male,127.8,1.65,198,157.0,60.0,0.77,598.0,Cardio,28.7,3.5,2.0,1.0,46.94,real,0.0,-0.4460551795036329
55.0,Female,49.3,1.76,194,161.0,73.0,1.28,927.0,Strength,30.5,2.0,2.0,1.0,15.92,real,40.102045387663495,-1.0919662340416112
19.0,Female,64.3,1.63,197,132.0,57.0,1.87,1234.0,Cardio,18.0,2.7,5.0,3.0,24.2,real,83.2305277250595,-0.3280060880049887
32.0,Male,49.3,1.62,167,158.0,74.0,1.18,1025.0,Strength,29.3,2.5,3.0,2.0,18.79,real,42.01702755461546,-0.948800690903076
28.0,Female,63.0,1.62,196,147.0,55.0,0.68,500.0,Strength,31.7,1.9,2.0,1.0,24.01,real,6.206807719854728,-1.1912371601295948
25.0,Female,41.1,1.67,186,138.0,71.0,1.03,711.0,Yoga,31.9,2.4,3.0,2.0,14.74,real,42.69069960058081,-0.09307108171568948
43.0,Female,40.5,1.74,187,143.0,51.0,1.5,965.0,HIIT,32.9,2.2,3.0,2.0,13.38,real,49.66873027126203,-0.12980817931387173
22.0,Male,71.0,1.62,199,138.0,68.0,0.91,691.0,HIIT,21.2,3.5,2.0,1.0,27.05,real,34.87057863517788,0.3262989879588581
23.0,Female,60.9,1.62,193,168.0,69.0,1.59,1336.0,Cardio,16.8,2.7,5.0,3.0,23.21,real,79.82388700963828,-0.6449004556600793
43.0,Female,64.7,1.66,191,132.0,69.0,1.88,1117.0,Yoga,19.8,2.7,4.0,3.0,23.48,real,82.23787951638899,0.026442277469404585
21.0,Female,51.0,1.71,174,132.0,73.0,1.07,706.0,HIIT,34.2,2.2,3.0,2.0,17.44,real,49.83577103927248,0.14063805781893063
36.0,Female,57.7,1.77,176,147.0,63.0,1.65,1213.0,Strength,19.4,2.7,4.0,3.0,18.42,real,91.88393273448084,0.05581904626527584
37.0,Male,76.9,1.82,192,121.0,50.0,1.49,992.0,Strength,24.5,2.8,4.0,2.0,23.22,real,80.26932425873622,-0.9605229462417137
50.0,Male,80.5,1.77,175,129.0,59.0,1.85,1181.0,Yoga,14.3,3.5,4.0,3.0,25.7,real,73.6413122707968,-0.18050921418304888
37.0,Female,73.3,1.74,188,141.0,65.0,1.03,726.0,Cardio,25.5,2.4,3.0,2.0,24.21,real,45.10560557481778,-0.0086877631562709
29.0,Female,49.0,1.57,168,132.0,53.0,1.33,878.0,Yoga,26.5,2.6,3.0,2.0,19.88,real,60.44160877069072,-0.29425722647364644
18.0,Male,114.5,1.97,192,128.0,60.0,1.03,725.0,Cardio,24.1,2.6,3.0,1.0,29.5,real,25.068914896263113,-1.9691821266968679
43.0,Male,81.0,1.78,188,152.0,65.0,1.58,1189.0,Yoga,12.4,3.5,5.0,3.0,25.56,real,100.0,-0.17160830082121592
31.0,Female,53.5,1.76,172,133.0,69.0,1.22,811.0,Strength,27.6,1.8,4.0,2.0,17.27,real,60.839281853259635,1.4700248315177937
55.0,Male,52.1,1.68,180,167.0,50.0,0.77,637.0,Yoga,23.6,3.0,3.0,1.0,18.46,real,21.407079092129404,-0.5880314150055862
54.0,Female,70.1,1.52,180,139.0,65.0,0.76,475.0,HIIT,26.6,2.1,2.0,1.0,30.34,real,17.896548306923094,-0.8824616782842569
28.0,Male,86.9,1.78,164,134.0,68.0,1.29,951.0,HIIT,24.9,3.7,4.0,2.0,27.43,real,62.44203580582908,-0.0013211522308814172
53.0,Male,73.4,1.76,169,151.0,70.0,1.09,815.0,Yoga,27.9,2.8,3.0,2.0,23.7,real,58.204821811973645,-0.0500974316267426
30.0,Male,90.0,1.66,165,152.0,71.0,1.32,1104.0,Cardio,26.6,2.1,4.0,2.0,32.66,real,48.58274031107298,0.6541881323331316
20.0,Male,85.7,1.92,172,136.0,58.0,1.72,1287.0,Cardio,10.5,3.5,5.0,3.0,23.25,real,95.66674689589154,-1.3062945247271103
50.0,Female,70.4,1.55,160,143.0,58.0,0.73,470.0,Strength,29.9,2.7,2.0,1.0,29.3,real,25.242955904456725,0.2851042020599939
23.0,Male,57.7,1.71,179,149.0,58.0,1.15,942.0,Strength,27.0,3.4,3.0,2.0,19.73,real,63.82158991037527,0.17233764900117082
27.0,Male,75.7,1.76,167,132.0,66.0,0.68,494.0,Cardio,25.3,2.3,3.0,1.0,24.44,real,31.48709887589643,-0.4137172295524369
22.0,Female,61.8,1.52,169,166.0,61.0,1.83,1519.0,Yoga,17.0,2.7,5.0,3.0,26.75,real,80.70381919683146,-0.029050145662647964
40.0,Male,80.3,1.76,168,167.0,74.0,1.63,1497.0,Strength,13.1,3.5,5.0,3.0,25.92,real,85.08713686433323,0.5235659852786858
27.0,Male,104.3,1.68,162,135.0,62.0,1.28,950.0,Cardio,29.7,3.5,3.0,2.0,36.95,real,44.140089665083565,0.39785230402276034
19.0,Female,65.7,1.58,170,121.0,57.0,1.46,883.0,Cardio,25.9,1.9,3.0,2.0,26.32,real,39.850643290127636,-1.214415449658983
30.0,Male,120.3,1.96,171,136.0,65.0,0.66,494.0,Yoga,23.9,2.6,2.0,1.0,31.32,real,14.206733088729012,0.35612654940438765
57.0,Female,51.9,1.57,169,151.0,67.0,1.05,713.0,HIIT,29.1,2.6,3.0,2.0,21.06,real,46.06661187672639,-0.3517508840260148
19.0,Female,59.1,1.57,184,162.0,50.0,1.65,1336.0,Cardio,17.9,2.7,5.0,3.0,23.98,real,85.28744822934817,-0.24170072158758768
37.0,Female,66.9,1.75,184,127.0,50.0,1.38,876.0,Strength,26.5,2.1,4.0,2.0,21.84,real,67.78451862607298,-0.2414424071986444
18.0,Female,66.9,1.75,170,122.0,61.0,0.94,573.0,Yoga,26.8,1.7,2.0,1.0,21.84,real,21.910990680199035,-0.420194391038608
54.0,Male,78.7,1.66,195,131.0,55.0,1.42,921.0,Yoga,22.9,2.6,3.0,2.0,28.56,real,45.12436548156149,0.6533659976856521
26.0,Female,62.4,1.61,198,139.0,58.0,1.88,1307.0,Yoga,19.8,2.7,4.0,3.0,24.07,real,66.40143859020081,-0.3669743678793696
34.0,Male,102.1,1.71,185,135.0,72.0,0.96,713.0,HIIT,27.3,3.2,2.0,1.0,34.92,real,12.582535660272205,-1.195636902706535
26.0,Male,51.9,2.0,173,133.0,54.0,0.75,549.0,HIIT,26.6,2.3,2.0,1.0,12.97,real,26.454841811410752,-0.6148238847757831
28.0,Male,58.3,2.0,198,135.0,65.0,1.32,980.0,Strength,28.2,3.0,4.0,2.0,14.57,real,76.6325472330546,-0.1570442265516195
32.0,Male,89.8,1.92,199,168.0,67.0,1.93,1783.0,Strength,10.6,3.5,4.0,3.0,24.36,real,76.92221765046999,0.6833718274376404
41.0,Male,101.1,1.83,160,162.0,66.0,0.79,634.0,Yoga,28.6,3.2,2.0,1.0,30.19,real,14.406503276639386,0.1824757479590669
55.0,Male,118.6,1.72,163,168.0,67.0,0.77,640.0,Strength,25.9,2.6,3.0,1.0,40.09,real,4.858836837107548,-0.9804282229976351
52.0,Male,84.8,1.85,189,152.0,50.0,1.19,895.0,Cardio,23.4,3.2,2.0,1.0,24.78,real,35.77453279763475,1.6881519333431132
47.0,Male,80.0,1.77,171,149.0,68.0,0.72,531.0,HIIT,28.2,3.5,3.0,1.0,25.54,real,23.23704467613048,-0.08817975121761629
48.0,Male,73.1,1.83,194,131.0,71.0,1.05,681.0,Yoga,28.0,2.8,4.0,2.0,21.83,real,57.790215257703395,0.7203125903992118
22.0,Male,117.3,1.68,172,134.0,57.0,1.24,914.0,Yoga,28.5,2.7,3.0,2.0,41.56,real,31.23896509716539,-0.4213715468617833
31.0,Female,77.4,1.71,190,137.0,52.0,1.26,863.0,Cardio,26.2,1.8,4.0,2.0,26.47,real,54.66109123156358,0.12668739576435956
28.0,Female,72.9,1.67,197,147.0,74.0,1.13,831.0,Cardio,34.7,2.2,3.0,2.0,26.14,real,43.825663854494714,0.3715748036147238
26.0,Female,71.2,1.5,182,142.0,54.0,1.15,816.0,Cardio,34.6,2.6,2.0,1.0,31.64,real,11.980899928983074,0.6745557694034048
51.0,Male,88.2,1.62,163,133.0,72.0,1.56,1027.0,Cardio,11.8,3.5,4.0,3.0,33.61,real,77.82131749859772,0.5458946443025801
29.0,Female,75.6,1.8,175,149.0,57.0,1.31,976.0,Yoga,25.7,1.9,4.0,2.0,23.33,real,44.7348470058894,0.3977576000583823
52.0,Female,57.9,1.56,166,152.0,68.0,1.66,1135.0,HIIT,15.8,2.7,4.0,3.0,23.79,real,81.32969674146877,-0.5520693849552869
52.0,Female,70.6,1.58,181,164.0,67.0,1.02,753.0,HIIT,34.9,2.0,3.0,2.0,28.28,real,38.07879185060827,-0.7573968335648491
18.0,Male,118.6,1.64,188,134.0,67.0,0.94,693.0,Cardio,25.6,2.7,3.0,1.0,44.1,real,8.300466289248423,-0.03391399174064191
57.0,Male,55.7,1.99,170,126.0,70.0,1.13,705.0,Strength,23.6,3.0,3.0,2.0,14.07,real,34.76813095216225,0.44650245787285553
39.0,Male,102.3,1.94,192,134.0,50.0,0.89,656.0,Yoga,22.9,2.4,3.0,1.0,27.18,real,16.14078152728412,-0.47817656062128566
46.0,Male,72.6,1.87,188,161.0,64.0,1.31,1044.0,HIIT,22.6,3.4,4.0,2.0,20.76,real,58.772118750645205,0.5521375725715092
25.0,Female,63.8,1.68,198,165.0,67.0,0.95,784.0,Cardio,31.6,1.9,2.0,1.0,22.6,real,35.65524029234341,0.8620933963889434
28.0,Female,67.3,1.67,171,157.0,74.0,0.61,479.0,Strength,29.2,2.3,3.0,1.0,24.13,real,24.34249738927012,-1.0330567352587359
58.0,Female,59.3,1.58,166,165.0,56.0,1.97,1463.0,Strength,19.8,2.7,4.0,3.0,23.75,real,74.44800473306802,-0.9695365630370241
54.0,Female,70.7,1.57,198,163.0,65.0,1.14,836.0,Cardio,31.8,2.1,3.0,1.0,28.68,real,38.291570694405905,-0.41230004712426915
31.0,Male,86.9,1.69,185,130.0,65.0,1.72,1230.0,Yoga,14.0,3.5,4.0,3.0,30.43,real,57.374860995837565,-0.053909865448642846
47.0,Male,98.2,1.9,199,148.0,64.0,0.76,557.0,HIIT,22.9,3.0,3.0,1.0,27.2,real,0.0,-0.7196536110136408
52.0,Male,63.6,1.62,168,150.0,55.0,1.3,965.0,Strength,20.8,2.3,4.0,2.0,24.23,real,59.40014450053332,0.7817621430937156
38.0,Female,45.2,1.68,193,144.0,58.0,1.01,727.0,HIIT,29.9,2.4,3.0,2.0,16.01,real,44.97945775647389,0.03925348921476096
54.0,Male,117.2,1.62,172,143.0,56.0,1.04,736.0,HIIT,23.1,2.3,4.0,2.0,44.66,real,15.297671828692874,-0.2684423614074084
22.0,Male,107.4,1.74,195,138.0,63.0,1.34,1017.0,Strength,22.0,2.2,2.0,1.0,35.47,real,11.378564472993535,-1.4487276190948222
36.0,Female,59.1,1.78,184,121.0,60.0,0.85,514.0,Cardio,34.5,2.2,2.0,1.0,18.65,real,22.43800713771199,-1.3526526531420058
31.0,Female,53.3,1.64,183,141.0,70.0,0.57,402.0,Strength,29.4,2.4,3.0,1.0,19.82,real,19.359213692632714,-0.07519259977455495
43.0,Male,46.2,1.63,176,139.0,65.0,1.18,812.0,Strength,21.7,2.1,2.0,1.0,17.39,real,7.1969560132910555,-2.006076500923869
21.0,Male,67.0,1.61,161,152.0,74.0,1.32,1104.0,Yoga,22.0,2.1,3.0,2.0,25.85,real,57.44957328280144,0.5101099277152574
42.0,Male,86.3,1.77,172,127.0,55.0,1.77,1113.0,HIIT,11.4,3.5,4.0,3.0,27.55,real,82.6770117795866,-0.42652307549785623
59.0,Male,85.5,1.67,190,144.0,71.0,1.99,1418.0,Cardio,15.0,3.5,5.0,3.0,30.66,real,75.51824136220618,2.294474375675787
42.0,Male,70.2,1.87,188,165.0,65.0,1.38,1127.0,HIIT,22.7,3.4,3.0,2.0,20.07,real,68.46636996047665,1.5463330004928886
35.0,Male,127.1,1.62,187,128.0,69.0,1.02,718.0,Strength,23.3,3.4,4.0,2.0,48.43,real,9.154152336738479,-0.4451592553980134
57.0,Female,75.6,1.67,186,153.0,65.0,1.05,723.0,Cardio,31.6,1.8,3.0,2.0,27.11,real,31.57974829075261,-0.38506960202505197
25.0,Female,62.6,1.65,174,142.0,61.0,1.2,852.0,Cardio,27.9,2.2,3.0,1.0,22.99,real,18.080919301187556,0.49646521120162385
56.0,Female,55.7,1.53,190,124.0,66.0,1.91,1066.0,Cardio,16.1,2.7,5.0,3.0,23.79,real,84.54413983644503,1.0625380879344302
57.0,Male,96.1,1.74,199,144.0,54.0,1.21,862.0,Cardio,21.6,2.8,3.0,2.0,31.74,real,42.32339449322692,-1.6104232459488135
31.0,Female,76.7,1.62,174,127.0,74.0,1.39,883.0,Yoga,28.1,2.3,4.0,2.0,29.23,real,46.2426394214367,-1.7291003722837495
49.0,Male,57.2,1.89,192,135.0,62.0,1.14,762.0,Cardio,21.1,3.5,2.0,1.0,16.01,real,23.520553965142966,-0.7976278444435052
55.0,Male,69.9,1.81,179,167.0,57.0,1.2,992.0,Strength,20.2,2.1,4.0,2.0,21.34,real,42.48460575809556,0.16619006653909152
50.0,Female,67.9,1.77,171,164.0,73.0,1.03,760.0,Yoga,33.0,2.4,3.0,2.0,21.67,real,64.4376460407326,0.09749887240607774
40.0,Male,87.9,1.87,196,134.0,54.0,1.96,1445.0,Strength,10.7,3.5,5.0,3.0,25.14,real,83.9684882160743,0.5558171639870801
32.0,Male,102.8,1.98,168,120.0,61.0,1.24,818.0,Strength,27.8,2.8,3.0,2.0,26.22,real,59.342958315881276,-1.2597580226922467
50.0,Female,51.8,1.5,182,141.0,58.0,1.32,838.0,HIIT,33.0,2.2,3.0,1.0,23.02,real,28.427253463777042,-2.1529150903751013
42.0,Female,57.7,1.57,167,122.0,52.0,1.83,1005.0,Cardio,17.7,2.7,4.0,3.0,23.41,real,84.56753219153784,0.38641135624171635
